100.00,  10.88
90.00,  9.54
95.00,  11.81
62.50,  8.67
93.75, 12.47
83.00,  10.47
98.00,  9.14
80.00,  11.68
95.00,  8.82
83.00,  12.76
70.00,  9.38
85.00,  11.47
96.00,  10.14
73.00,  9.65
81.00,  10.38
79.00,  11.38
78.00,  10.00
81.00,  10.38
73.00,  10.28
71.00,  9.30
81.00,  10.20
70.00,  11.01
65.00,  10.78
73.00,  11.778
70.00,  10.90
63.00,  11.98
65.00,  10.24
71.00,  9.99
68.00,  10.55
65.00,  11.02
64.00,  10.56
60.00,  11.12
62.00,  12.01
55.00,  11.65
65.00,  12.00
54.00,  11.98
60.00,  11.56
58.00,  12.00
62.00,  12.34
57.00,  12.56
55.00,  12.00
55.00,  11.01
56.00,  11.56
60.00,  12.30
54.00,  12.98
52.00,  11.56
55.00,  11.36
57.00,  12.00
53.00,  12.05
54.00,  13.03
55.00,  12.45
54.00,  12.23
55.00,  11.98
53.00,  12.30
54.00,  12.80
52.00,  11.98
51.00,  11.65
50.00,  10.65
48.00,  12.45
52.00,  12.05
54.00,  11.23
50.00,  11.98
52.00,  12.80
49.00,  12.23
50.00,  13.00
48.00,  12.45
51.00,  13.50
47.00,  11.98
46.00,  13.20
52.00,  13.30
49.00,  12.85
50.00,  13.00
48.00,  13.12
45.00,  12.65
50.00,  13.40
46.00,  12.45
50.00,  13.50
44.00,  13.65
49.00,  12.65
46.00,  13.80
48.00,  13.00
43.00,  12.00
46.00,  13.40
42.00,  13.90
45.00,  14.00
44.00,  14.52
43.00,  13.60
45.00,  14.22
42.00,  14.40
45.00,  13.40
44.00,  14.76
42.00,  13.62
45.00,  14.30
43.00,  14.60
40.00,  13.87
41.00,  14.90
38.00,  14.80
40.00,  13.02
39.00,  13.60
41.00,  14.89
40.00,  14.40
39.00,  15.00
37.00,  15.80
40.00,  14.80
38.00,  16.30
39.00,  15.80
37.00,  15.56
40.00,  16.50
39.00,  16.20
38.00,  16.50
41.00,  16.76
40.00,  15.20
39.00,  16.70
35.00,  16.03
37.00,  16.73
34.00,  16.90
30.00,  16.80
35.00,  15.31
33.00,  16.70
31.00,  17.00
30.00,  16.56
32.00,  17.76
30.00,  17.78
30.00,  17.50
31.00,  16.99
28.00,  18.02
29.00,  17.99
30.00,  17.56
27.00,  18.00
29.00,  18.99
30.00,  18.02
26.00,  17.98
28.00,  18,88
27.00,  18.65
25.00,  19.01
24.00,  18.77
26.00,  18.00
25.00,  19.65
24.00,  18.77
20.00,  18.83
22.00,  18.63
23.00,  18.65
20.00,  18.02
18.00,  17.88
20.00,  18.65
19.00,  18.00
17.00,  18.04
18.00,  19.01
15.00,  19.78
16.00,  18.07
20.00,  18.02
18.00,  17.98
19.00,  16.98
17.00,  17.00
19.00,  16.56
18.00,  15.01
16.00,  17.98
18.00,  17.56
17.00,  18.91
15.00,  17.98
14.00,  18.56
16.00,  19.99
18.00,  19.56
17.00,  19.01
15.00,  18.81
13.00,  17.78
16.00,  19.91
13.00,  18.98
10.00,  19.98
11.00,  19.65
12.00,  19.14
14.00,  18.87
11.00,  20.00
8.00,  18.12
9.00,  19.45
7.00,  18.90
